ParkCode,ShortName,LongName_title,LongName,Network,Network_long,TPlotNum,TPlotSize,SapPlotNum,SapPlotSize,SeedPlotNum,SeedPlotSize,ShrubPlotNum,ShrubPlotSize,ShSeedPlotNum,ShSeedPlotSize,VPlotNum,VPlotSize,HPlotNum,HPlotSize
APCO,Appomattox Court House,Appomattox Court House <br> National Historical Park,Appomattox Court House National Historical Park,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
ASIS,Assateague Island,Assateague Island National Seashore,Assateague Island National Seashore,NCBN,Northeast Coastal and Barrier Network,1,400,3,28.27,12,1,3,28.7,NA,NA,1,400,12,1
BOWA,Booker T Washington,Booker T Washington National Monument,Booker T Washington National Monument,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
COLO,Colonial,Colonial National Historical Park,Colonial National Historical Park,NCBN,Northeast Coastal and Barrier Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
FRSP,Fredericksburg & Spotsylvania,Fredericksburg & Spotsylvania <br> National Military Park,Fredericksburg & Spotsylvania National Military Park,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
GETT,Gettysburg,Gettysburg National Military Park,Gettysburg National Military Park,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
GEWA,George Washington Birthplace,George Washington Birthplace <br> National Monument,George Washington Birthplace National Monument,NCBN,Northeast Coastal and Barrier Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
HOFU,Hopewell Furnace,Hopewell Furnace National Historic Site,Hopewell Furnace National Historic Site,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
PETE,Petersburg,Petersburg National Battlefield,Petersburg National Battlefield,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
RICH,Richmond,Richmond National Battlefield Park,Richmond National Battlefield Park,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
SAHI,Sagamore Hill,Sagamore Hill National Historic Site,Sagamore Hill National Historic Site,NCBN,Northeast Coastal and Barrier Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
THST,Thomas Stone,Thomas Stone National Historic Site,Thomas Stone National Historic Site,NCBN,Northeast Coastal and Barrier Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
VAFO,Valley Forge,Valley Forge National Historical Park,Valley Forge National Historical Park,MIDN,Mid-Atlantic Network,1,400,3,28.27,12,1,3,28.27,NA,NA,1,400,12,1
