TSN,ScientificName,AcceptedScientificName,YearAdded
18857,Akebia quinata,Akebia quinata,2007
184481,Alliaria petiolata,Alliaria petiolata,2007
28632,Ampelopsis brevipedunculata,Ampelopsis brevipedunculata,2007
18835,Berberis thunbergii,Berberis thunbergii,2007
34309,Campsis radicans,Campsis radicans,2007
22798,Cardamine impatiens,Cardamine impatiens,2007
506068,Celastrus orbiculatus,Celastrus orbiculatus,2007
780246,Centaurea stoebe,Centauea stoebe,2007
36335,Cirsium arvense,Cirsium arvense,2007
18712,Clematis terniflora,Clematis terniflora,2007
39357,Cyperaceae,Cyperaceae,2007
25163,Duchesnea indica,Duchesnea indica,2007
27950,Euonymus fortunei,Euonymus fortunei,2007
565897,Fallopia japonica,Fallopia japonica,2007
564826,Ferns (all families),Ferns (all families),2007
502801,Glechoma hederacea,Glechoma hederacea,2007
29393,Hedera helix,Hedera helix,2007
42943,Hemerocallis fulva,Hemerocallis fulva,2007
25898,Lespedeza cuneata,Lespedeza cuneata,2007
42722,Lilium,Lilium,2007
35283,Lonicera japonica,Lonicera japonica,2007
-9999999945,Lonicera - Exotic,Lonicera - Exotic,2007
503655,Maianthemum racemosum,Maianthemum racemosum,2007
503829,Microstegium vimineum,Microstegium vimineum,2007
43397,Orchid,Orchid,2007
28602,Parthenocissus quinquefolia,Parthenocissus quinquefolia,2007
823774,Persicaria perfoliata,Persicaria perfoliata,2007
40351,Poaceae,Poaceae,2007
18850,Podophyllum peltatum,Podophyllum peltatum,2007
17675,Polystichum acrostichoides,Polystichum acrostichoides,2007
504683,Pueraria montana,Pueraria montana,2007
18603,Ranunculus ficaria,Ranunculus ficaria,2007
24833,Rosa multiflora,Rosa multiflora,2007
25017,Rubus phoenicolasius,Rubus phoenicolasius,2007
24848,Rubus,Rubus,2007
17261,Thelypteris noveboracensis,Thelypteris noveboracensis,2007
28821,Toxicodendron radicans,Toxicodendron radicans,2007
43054,Trillium,Trillium,2007
23571,Vaccinium,Vaccinium,2007
30238,Vinca minor,Vinca minor,2007
28606,Vitis,Vitis,2007
29376,Aralia nudicaulis,Aralia nudicaulis,2008
42525,Arisaema triphyllum,Arisaema triphyllum,2008
17491,Dennstaedtia punctilobula,Dennstaedtia punctilobula,2008
513440,Eurybia divaricata,Eurybia divaricata,2008
29182,Impatiens capensis,Impatiens capensis,2008
19127,Laportea canadensis,Laportea canadensis,2008
42963,Medeola virginiana,Medeola virginiana,2008
43006,Polygonatum biflorum,Polygonatum biflorum,2008
43340,Smilax,Smilax,2008
43110,Uvularia perfoliata,Uvularia perfoliata,2008
43112,Uvularia sessilifolia,Uvularia sessilifolia,2008
23573,Vaccinium corymbosum,Vaccinium corymbosum,2008
23615,Vaccinium stamineum,Vaccinium stamineum,2008
32973,Ligustrum,Ligustrum,2009
32976,Ligustrum obtusifolium,Ligustrum obtusifolium,2009
32980,Ligustrum vulgare,Ligustrum vulgare,2009
35298,Lonicera maackii,Lonicera maackii,2009
797406,Oplismenus hirtellus ssp. undulatifolius,Oplismenus hirtellus ssp. undulatifolius,2009
823855,Persicaria longiseta,Persicaria longiseta,2009
43342,Smilax glauca,Smilax glauca,2009
43346,Smilax rotundifolia,Smilax rotundifolia,2009
27019,Wisteria,Wisteria,2009
823794,Persicaria posumbu,Persicaria posumbu,2009
18990,Sanguinaria canadensis,Sanguinaria canadensis,2010
502075,Dioscorea oppositifolia,Dioscorea oppositifolia,2013
43007,Polygonatum pubescens,Polygonatum pubescens,2013
23659,Gaylussacia,Gaylussacia,2014
-9999999946,Lonicera - Native,Lonicera - Native,2018
39145,Murdannia keisak,Murdannia keisak,2022
