park,from,from_4yr,to,cycle_latest,from_prev,to_prev,panel_4yr
FRSP,2007,2021,2024,5,2017,2021,4
PETE,2007,2021,2024,5,2017,2021,4
RICH,2007,2021,2024,5,2017,2021,4
APCO,2007,2022,2024,5,2016,2019,3
BOWA,2007,2022,2024,5,2016,2019,3
GETT,2007,2022,2024,5,2016,2019,3
HOFU,2007,2022,2024,5,2016,2019,3
VAFO,2007,2022,2024,5,2016,2019,3
GEWA,2008,2022,2024,4,2016,2019,1
THST,2008,2022,2024,4,2016,2019,1
COLO,2011,2022,2024,4,2016,2019,2
SAHI,2009,2023,2023,4,2017,2017,1
ASIS,2019,2019,2024,1,NA,NA,1
