"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"APCO-268",268,"4",0.5,0.58,0.58,1.17,0.02,0,0,0,6.28318530717959,9.42477796076938,59.6902604182061,19.8548655706875
"APCO-184",184,"3",0.25,0.17,0.42,0.25,0.17,0.13,0.08,0.08,17.9699099785336,10.5557513160617,5.27787565803085,3.14159265358979
"APCO-108",108,"2",0.42,0.58,0.92,2.17,0.07,0.05,0.05,0.02,34.8088466017749,23.2477856365645,19.9805292768311,35.5628288386365
"APCO-179",179,"3",1.42,1.08,0.67,0.5,0.61,0.58,0.38,0.15,405.893770843801,233.608829720937,121.642467546997,30.6619442990364
"APCO-012",12,"1",0.5,0.58,0.33,0.08,0.52,0.47,0.38,0.25,195.658390465572,268.669003734999,124.784060200587,60.318578948924
"APCO-264",264,"4",1.58,2.25,2.08,1.92,0.18,0.15,0.14,0.09,170.525649236854,225.817679940034,162.985826868238,74.7699051554371
"APCO-183",183,"3",0.25,0.58,0.67,0.5,0.15,0.13,0.11,0.12,42.2230052642468,31.6672539481851,30.4106168867492,15.8336269740926
"APCO-100",100,"2",0,0.5,0.33,0,0.06,0.04,0.04,0.04,0,28.2743338823081,12.6920343205028,0
"APCO-004",4,"1",2.42,2.08,2.25,1.25,0.27,0.31,0.27,0.21,332.254839043657,482.045976766818,425.245981589914,151.676093315315
"APCO-263",263,"4",3.08,2.67,2,0.83,0.27,0.26,0.27,0.22,238.007059435963,245.044226980004,194.904408228711,121.139812722422
"APCO-177",177,"3",0.08,0.83,0.5,0.83,0.01,0.04,0.04,0.02,2.13628300444106,18.9752196276823,15.8336269740926,12.5663706143592
"APCO-176",176,"3",3.33,3.42,4,3.42,0.06,0.05,0.05,0.05,85.1999927653552,65.0937997823805,64.9681360762369,81.8070726994782
"APCO-071",71,"1",4.33,4.17,3,1.5,0.32,0.26,0.28,0.22,258.741570949655,399.861912948909,316.169884657277,92.8654788401143
"APCO-265",265,"4",0,0,0.17,0,0.24,0.2,0.12,0.07,81.4300815810474,59.3132692997753,48.63185427757,22.2424759874157
"APCO-102",102,"2",0,0.67,0.17,0.33,0.11,0.08,0.08,0.08,7.41415866247191,15.8336269740926,9.55044166691297,18.9752196276823
"APCO-262",262,"4",0.08,0.08,0.17,0.33,0.13,0.07,0.05,0.01,46.4955712731289,23.2477856365645,10.5557513160617,5.27787565803085
"APCO-099",99,"2",0.08,0.33,0.25,0.42,0,0,0,0,2.13628300444106,4.14690230273853,3.14159265358979,5.27787565803085
"APCO-009",9,"1",0.25,0,0.08,0.17,0.15,0.18,0.2,0.17,17.9699099785336,37.0707933123596,45.4902616239802,39.081412610657
"APCO-010",10,"1",3.83,2.67,1.58,1.08,0.61,0.52,0.58,0.4,379.001737729073,418.962796282735,461.060137840838,196.28670899629
"APCO-011",11,"1",0.58,0.83,0.58,0.25,0.15,0.14,0.13,0.13,52.7787565803085,47.5008809222777,29.5309709437441,25.3840686410055
"APCO-187",187,"3",0.83,0,0.17,0.67,0.04,0.04,0.04,0.04,12.5663706143592,0,2.13628300444106,9.42477796076938
"APCO-098",98,"2",0.58,0.08,0,0.08,0.09,0.08,0.07,0.07,55.5433581154675,15.8336269740926,0,1.00530964914873
"APCO-267",267,"4",0.5,0.08,0,0.08,0.29,0.28,0.21,0.17,71.6283125018473,30.6619442990364,29.6566346498876,8.41946831162065
"APCO-266",266,"4",0.17,0.08,0,0,0,0,0,0,2.13628300444106,1.00530964914873,0,0
"APCO-101",101,"2",1.58,2,1.25,0.25,0.17,0.26,0.25,0.13,121.139812722422,267.161039261276,210.486707790516,42.2230052642468
"APCO-107",107,"2",0.08,0.33,0.33,0.17,0.29,0.28,0.19,0.13,90.9805232479604,80.2991082257551,49.6371639267187,24.3787589918568
"APCO-178",178,"3",1,0.58,0.17,0.08,0.5,0.52,0.33,0.21,393.830055054016,204.957504720198,98.3946819104323,38.0761029615083
"APCO-007",7,"1",0.5,0.17,0.33,0.17,0.45,0.34,0.29,0.18,80.2991082257551,81.3044178749038,58.182295944483,24.3787589918568
