"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4"
"Ailanthus altissima","Tree of heaven",0,0,0,3
"Alliaria petiolata","garlic mustard",0,0,0,1
"Berberis thunbergii","Japanese barberry",2,3,5,6
"Cardamine impatiens","narrowleaf bittercress",0,0,0,1
"Celastrus orbiculatus","oriental bittersweet",0,1,1,1
"Euonymus","burningbush",0,0,1,5
"Euonymus fortunei","climbing euonymus",1,0,0,1
"Ligustrum","privet",4,11,12,16
"Lonicera - Exotic","honeysuckle - exotic",5,2,5,6
"Lonicera japonica","Japanese honeysuckle",22,25,22,23
"Microstegium vimineum","Japanese stiltgrass",12,16,16,18
"Persicaria longiseta","Oriental lady's thumb",3,4,4,2
"Rosa multiflora","multiflora rose",6,13,14,15
"Rubus phoenicolasius","wine raspberry",0,1,0,0
