"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","numspp_1","numspp_2","numspp_3"
331,"1",0,0,0,0,0,0
332,"1",11.925,16.5,15.0333333333333,3,4,3
333,"1",0.433333333333333,3.25,15.7666666666667,2,2,2
334,"1",0.166666666666667,8.5,0.45,2,2,2
335,"1",0.325,0.9,0.0166666666666667,2,2,3
336,"1",0,0.00833333333333333,0,1,1,2
337,"1",2.76666666666667,0.475,0.358333333333333,3,3,3
338,"1",0.0166666666666667,0.00833333333333333,0.633333333333333,3,2,3
339,"1",0,0.00833333333333333,0.0166666666666667,1,1,1
340,"1",0,0.00833333333333333,0.00833333333333333,0,2,3
341,"1",54.3916666666667,56.6833333333333,46.2083333333333,2,3,3
342,"1",0,0,0,0,1,2
344,"2",3.94166666666667,2.175,1.31666666666667,3,4,4
345,"2",0,0,0,0,0,0
346,"2",36.7,22.5,26.5083333333333,3,3,3
347,"2",2.00833333333333,5.45,0.591666666666667,3,3,3
348,"2",0,0,0,0,0,0
349,"2",0,0,0,1,3,1
350,"2",3.44166666666667,7.03333333333333,8.14166666666667,2,2,2
351,"2",0.291666666666667,7.09166666666667,0.625,1,2,1
352,"2",0,0,0,0,1,0
353,"2",0.00833333333333333,0.308333333333333,0.00833333333333333,1,1,2
354,"2",1.375,14.4,1.58333333333333,2,2,3
355,"2",26.1666666666667,18.775,0.45,2,2,5
357,"3",0.15,1.76666666666667,0.25,4,3,3
358,"3",12.1,13.8333333333333,10.5083333333333,4,3,4
359,"3",15.7416666666667,7.625,9.68333333333333,2,2,2
360,"3",0.141666666666667,0.025,0.00833333333333333,1,1,2
361,"3",0.158333333333333,1.50833333333333,0.466666666666667,3,3,3
362,"3",7.14166666666667,1.825,2.15,3,3,3
363,"3",0.591666666666667,0,0.00833333333333333,2,0,2
364,"3",7.09166666666667,3.14166666666667,0.65,1,2,1
365,"3",0.558333333333333,6.45833333333333,1.725,2,2,2
366,"3",12.6333333333333,19.5166666666667,23.35,3,3,3
367,"3",0,0,0,0,0,0
368,"3",0,0,0,0,0,0
370,"4",7.13333333333333,0.141666666666667,20.275,4,4,5
371,"4",0.025,0.0166666666666667,1.59166666666667,2,2,3
372,"4",0,0,0,0,0,1
373,"4",0.025,0.0166666666666667,0.025,2,2,3
374,"4",0.0166666666666667,0,0,1,1,1
375,"4",17.9,5.96666666666667,10.7,3,4,5
376,"4",0.183333333333333,1.20833333333333,1.29166666666667,3,3,2
377,"4",0,0,0,1,0,0
378,"4",1.49166666666667,0.666666666666667,0.00833333333333333,3,2,3
379,"4",0,0,0.00833333333333333,0,1,2
381,"4",0,0,0,1,0,0
