"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","seed_den_5","sap_den_1","sap_den_2","sap_den_3","sap_den_4","sap_den_5","stock_1","stock_2","stock_3","stock_4","stock_5"
"FRSP-197",197,"3",0.25,0.25,0.33,0.17,NA,0.04,0.04,0.04,0.04,NA,11.5610609652104,12.6920343205028,12.6920343205028,9.55044166691297,NA
"FRSP-283",283,"4",0,0,0.08,0,NA,0.21,0.18,0.15,0.13,NA,51.8991106373034,37.0707933123596,30.6619442990364,14.8283173249438,NA
"FRSP-275",275,"4",0.83,1.67,1.67,1,NA,0.08,0.09,0.09,0.09,NA,76.9061881598781,120.888485310135,116.615919301253,99.7769826780118,NA
"FRSP-054",54,"1",0.08,0,0,2,3,0.01,0.01,0.01,0,0,1.00530964914873,0,0,33.552209540339,115.233618533674
"FRSP-278",278,"4",0.42,0.58,1.17,1.25,NA,0.13,0.13,0.12,0.12,NA,75.0212325677243,76.1522059230166,99.0230004411503,126.166360968166,NA
"FRSP-001",1,"1",0,0,0.17,0.33,0.92,0.05,0.04,0.04,0.02,0.02,7.41415866247191,0,2.13628300444106,6.28318530717959,55.5433581154675
"FRSP-116",116,"2",5.33,5.83,7.5,6.25,NA,0.01,0.01,0,0,NA,80.6760993441859,89.0955676558065,96.3840626121349,88.9699039496629,NA
"FRSP-017",17,"1",1.67,0.25,0.17,0.17,0.08,0.06,0.04,0,0,0,89.2212313619501,10.5557513160617,2.13628300444106,2.13628300444106,1.00530964914873
"FRSP-210",210,"3",1.92,0.67,0.08,0,NA,0.19,0.17,0.15,0.11,NA,62.2035345410779,50.5168098697239,23.2477856365645,7.41415866247191,NA
"FRSP-315",315,"4",0.25,0.25,0.08,0.08,NA,0.07,0.06,0.05,0.05,NA,27.5203516454466,17.9699099785336,1.00530964914873,1.00530964914873,NA
"FRSP-127",127,"2",0,0,0,0,NA,0.09,0.09,0.09,0.09,NA,14.8283173249438,14.8283173249438,0,0,NA
"FRSP-149",149,"2",0.58,0.25,0.08,0.17,NA,0.11,0.04,0.02,0.01,NA,37.9504392553647,10.5557513160617,1.00530964914873,2.13628300444106,NA
"FRSP-056",56,"1",3.08,2.67,7.33,6.75,9,0.04,0.04,0.04,0.02,0.02,50.2654824574367,39.8353948475186,125.663706143592,122.522113490002,152.932730376751
"FRSP-220",220,"3",0,0.42,0.25,0.33,NA,0.07,0.09,0.08,0.05,NA,37.0707933123596,44.3592882686879,33.8035369526262,11.5610609652104,NA
"FRSP-205",205,"3",3.08,2.58,2.25,1.08,NA,0.08,0.12,0.12,0.08,NA,217.021220509983,74.7699051554371,80.0477808134679,35.8141562509236,NA
"FRSP-280",280,"4",0.42,0.17,0.17,0.17,NA,0.08,0.09,0.09,0.09,NA,21.1115026321234,16.9646003293849,16.9646003293849,3.14159265358979,NA
"FRSP-124",124,"2",0.33,0.08,0,0.08,NA,0.07,0.06,0.05,0.04,NA,15.8336269740926,8.41946831162065,0,1.00530964914873,NA
"FRSP-048",48,"1",0.67,0.08,0.33,0.17,0.17,0.13,0.09,0.09,0.09,0.11,45.238934211693,8.41946831162065,25.1327412287183,21.9911485751286,10.5557513160617
"FRSP-122",122,"2",0.25,0.83,1.5,1.42,NA,0.04,0.01,0.01,0.01,NA,10.5557513160617,12.5663706143592,20.9858389259798,21.9911485751286,NA
"FRSP-059",59,"1",1.5,0.08,0.08,0.33,0.58,0,0,0,0,0,72.2566310325652,1.00530964914873,1.00530964914873,4.14690230273853,7.28849495632832
"FRSP-201",201,"3",0.83,1.08,1.67,1.75,NA,0.04,0.05,0.04,0.04,NA,11.5610609652104,22.1168122812721,32.5468998911903,89.0955676558065,NA
"FRSP-018",18,"1",0.25,0.17,0.33,0.08,0.25,0,0,0,0,0,4.14690230273853,3.14159265358979,4.14690230273853,2.13628300444106,5.27787565803085
"FRSP-227",227,"3",1.17,1.25,0.75,0.5,NA,0.02,0.02,0.02,0.02,NA,50.3911461635803,16.7132729170977,30.4106168867492,58.6849507690573,NA
"FRSP-279",279,"4",0,0.08,0,0,NA,0.01,0.01,0.01,0.01,NA,0,1.00530964914873,0,0,NA
"FRSP-119",119,"2",0.25,0.17,0.25,0.42,NA,0.15,0.11,0.06,0.06,NA,89.2212313619501,10.5557513160617,30.4106168867492,66.0991094315292,NA
"FRSP-045",45,"1",1.75,0.33,0.17,0.17,0.17,0.02,0.01,0.01,0.02,0.01,45.1132705055494,5.27787565803085,2.13628300444106,10.5557513160617,3.14159265358979
"FRSP-209",209,"3",1.17,2.08,2.17,2.33,NA,0.07,0.06,0.06,0.06,NA,27.2690242331594,28.2743338823081,36.6938021939288,44.1079608564007,NA
"FRSP-123",123,"2",0.17,0.25,0,0.08,NA,0.02,0.05,0.04,0.04,NA,3.14159265358979,10.5557513160617,7.41415866247191,8.41946831162065,NA
"FRSP-288",288,"4",3.17,1.58,0.42,0.17,NA,0.09,0.08,0.08,0.07,NA,69.240702085119,39.9610585536622,27.5203516454466,17.9699099785336,NA
"FRSP-310",310,"4",0.42,2.17,0.25,0.42,NA,0,0,0,0,NA,5.27787565803085,52.4017654618778,5.27787565803085,6.28318530717959,NA
