"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","inv_cov_4","inv_cov_5","numspp_1","numspp_2","numspp_3","numspp_4","numspp_5"
1,"1",0,0,0,0.00833333333333333,0,0,0,0,1,0
2,"1",0,0,0,0,0,0,0,0,0,0
3,"1",0,0,0,0,0,0,0,0,0,0
8,"1",0,0,0,0,0,0,0,0,1,0
13,"1",0.975,0.616666666666667,15.6833333333333,3.53333333333333,5.76666666666667,1,1,3,5,5
14,"1",0,0,0,0,0,0,0,0,2,2
17,"1",0,0,0,0,0,0,0,0,1,0
18,"1",0,0,0,0,0,0,0,1,2,2
43,"1",0,0,0,0,0,0,0,0,0,0
44,"1",0,0,0,0,0,0,0,0,0,0
45,"1",0,0.00833333333333333,0.0166666666666667,0,0,0,1,1,1,1
46,"1",0,0,0,0,0,0,0,1,0,0
47,"1",0,0,0,0,0,0,0,0,0,0
48,"1",0,0,0,0,0,0,0,0,0,0
49,"1",0,0,0,0,0,0,0,0,0,0
54,"1",0,0,0,0,0,0,0,0,0,0
55,"1",0,0,0,0,0,0,0,0,1,1
56,"1",0,0,0,0.00833333333333333,0,0,1,0,1,0
57,"1",0,0.0583333333333333,0.283333333333333,0.0333333333333333,0.05,0,1,1,1,1
58,"1",0,0,0,0,0,0,0,0,0,0
59,"1",0,0,0,0,0,0,0,0,0,0
60,"1",0,0,0,0,0,0,0,0,0,0
61,"1",0,0,0,0.541666666666667,0.441666666666667,0,1,2,2,4
62,"1",0,0,0,0,0,0,0,0,0,0
74,"1",0,0,0,0,0,0,0,0,2,2
75,"1",0,0,0,0,0,0,0,0,0,0
106,"2",0,0.0166666666666667,0.0166666666666667,0.316666666666667,NA,0,1,3,5,NA
112,"2",0,0,0.00833333333333333,3.675,NA,0,1,3,4,NA
113,"2",0,0,0,0.0666666666666667,NA,0,1,2,1,NA
114,"2",0,0,0,0,NA,0,0,0,0,NA
115,"2",0,0,0,0,NA,0,0,0,0,NA
116,"2",0,0,0,0,NA,0,0,0,0,NA
117,"2",0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,NA,1,1,2,2,NA
118,"2",0.291666666666667,0.216666666666667,1.03333333333333,27.7083333333333,NA,1,2,5,5,NA
119,"2",0,0,0,0,NA,0,0,0,0,NA
120,"2",0,0,0,0.00833333333333333,NA,0,1,1,2,NA
121,"2",0,0,0,0,NA,0,0,0,0,NA
122,"2",0,0,0,0,NA,0,0,0,0,NA
123,"2",0,0,0,0,NA,0,0,0,0,NA
124,"2",0,0,0,0,NA,0,0,0,0,NA
125,"2",0,0,0,0,NA,0,0,0,0,NA
126,"2",0,0,0,0,NA,0,0,0,0,NA
127,"2",0,0,0,0,NA,0,0,0,0,NA
128,"2",0,0,0,0,NA,0,0,0,0,NA
142,"2",0,0,0,0,NA,0,0,0,0,NA
145,"2",0,0,0,0,NA,0,0,0,0,NA
146,"2",0,0,0,0,NA,0,0,0,0,NA
147,"2",0.0166666666666667,0,0,0,NA,1,0,0,0,NA
149,"2",0.316666666666667,0.00833333333333333,0.0333333333333333,0.0416666666666667,NA,2,1,2,2,NA
150,"2",1.36666666666667,0.3,0.2,0.733333333333333,NA,2,1,2,4,NA
151,"2",0,0,0,0,NA,0,0,0,0,NA
152,"2",0,0,0,0,NA,0,0,0,0,NA
180,"3",0.00833333333333333,0,0,0,NA,1,1,1,2,NA
197,"3",0,0,0,0,NA,0,0,0,0,NA
199,"3",0.0666666666666667,0.291666666666667,3.33333333333333,3.975,NA,3,5,5,5,NA
200,"3",0,0,0,0,NA,0,0,0,0,NA
201,"3",0,0,0,0,NA,0,1,1,2,NA
202,"3",0,0,0,0,NA,0,0,0,0,NA
204,"3",0,0,0,0,NA,0,0,0,0,NA
205,"3",0.00833333333333333,0,0,0,NA,2,1,2,3,NA
206,"3",0,0,0.00833333333333333,0,NA,0,0,1,1,NA
208,"3",0,0,0,0,NA,0,0,0,0,NA
209,"3",0,0,0,0,NA,0,0,0,0,NA
210,"3",0,0,0,0,NA,0,0,0,0,NA
211,"3",0,0,0,0,NA,0,0,0,0,NA
213,"3",0,0,0,0,NA,0,0,0,0,NA
216,"3",0,0.00833333333333333,0.025,0.75,NA,1,1,1,1,NA
220,"3",0,0,0,0,NA,0,0,0,0,NA
221,"3",0.0166666666666667,0,0,0,NA,1,0,1,0,NA
222,"3",0,0,0,0,NA,0,0,2,2,NA
223,"3",0,0,0,0,NA,0,0,0,0,NA
224,"3",0,0.00833333333333333,0.00833333333333333,0,NA,1,1,2,1,NA
225,"3",0,0,0,0,NA,1,1,1,2,NA
227,"3",3.675,6.98333333333333,2.43333333333333,3.13333333333333,NA,2,3,4,6,NA
228,"3",0,0,0,0,NA,0,0,0,0,NA
232,"3",0,0,0,0,NA,0,1,1,2,NA
234,"3",0,0,0,0,NA,0,0,0,0,NA
235,"3",0,0,0,0,NA,0,0,0,0,NA
272,"4",0.0166666666666667,0.00833333333333333,0,0.00833333333333333,NA,1,3,3,3,NA
273,"4",0,0,0,0,NA,0,0,0,0,NA
274,"4",0,0.133333333333333,0.0166666666666667,0.15,NA,0,1,1,3,NA
275,"4",0,0,0,0,NA,0,0,0,0,NA
276,"4",0.00833333333333333,2.04166666666667,0.475,3.8,NA,1,4,2,4,NA
277,"4",7.38333333333333,6.975,7.025,6.63333333333333,NA,3,3,2,3,NA
278,"4",0,0,0,0,NA,0,1,0,0,NA
279,"4",0,0,0,0,NA,0,0,0,0,NA
280,"4",0,0,0,0,NA,0,0,0,0,NA
281,"4",0,0,0,0,NA,0,0,0,0,NA
282,"4",0.216666666666667,0.216666666666667,0.45,0.0916666666666667,NA,2,2,1,2,NA
283,"4",0,0,0,0,NA,0,0,0,0,NA
284,"4",0,0,0,0,NA,0,0,0,0,NA
285,"4",0,0,0,0,NA,0,0,0,0,NA
286,"4",0,0,0,0,NA,0,0,0,0,NA
287,"4",0,0,0,0,NA,0,0,0,2,NA
288,"4",0,0,0,0,NA,0,0,0,0,NA
289,"4",0,0.00833333333333333,0.00833333333333333,0.0333333333333333,NA,0,1,1,3,NA
