"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4","cycle_5"
"Ailanthus altissima","Tree of heaven",0,2,1,9,1
"Berberis thunbergii","Japanese barberry",2,1,5,3,0
"Celastrus orbiculatus","oriental bittersweet",1,1,4,13,2
"Euonymus","burningbush",0,0,0,2,1
"Euonymus fortunei","climbing euonymus",1,0,0,0,0
"Ligustrum","privet",2,4,8,13,3
"Lonicera - Exotic","honeysuckle - exotic",3,2,0,0,0
"Lonicera japonica","Japanese honeysuckle",12,22,26,24,4
"Microstegium vimineum","Japanese stiltgrass",2,7,12,21,3
"Persicaria longiseta","Oriental lady's thumb",1,2,3,5,2
"Persicaria perfoliata","Asiatic tearthumb",1,0,0,0,0
"Rosa multiflora","multiflora rose",6,6,9,11,2
