"Plot_Name","SampleYear","X","Y","ScientificName","quad_avg_cov"
"GETT-033",2019,310357,4409298,"Albizia julibrissin",0
"GETT-175",2022,308602,4406809,"Ailanthus altissima",0
"GETT-028",2019,310101,4409555,"Albizia julibrissin",0
"GETT-253",2023,308096,4406818,"Ailanthus altissima",0
"GETT-256",2023,307348,4405807,"Oplismenus hirtellus ssp. undulatifolius",1.25
"GETT-169",2022,308610,4407043,"Ailanthus altissima",0.0166666666666667
"GETT-257",2023,306605,4412050,"Albizia julibrissin",0
"GETT-255",2023,308845,4408550,"Albizia julibrissin",0
"GETT-171",2022,309851,4408809,"Ailanthus altissima",0.00833333333333333
"GETT-031",2019,306841,4407290,"Ailanthus altissima",0
"GETT-089",2022,310343,4410057,"Ailanthus altissima",0
"GETT-032",2019,307589,4406049,"Ailanthus altissima",0.025
"GETT-097",2022,307117,4411757,"Oplismenus hirtellus ssp. undulatifolius",0.00833333333333333
"GETT-091",2022,308602,4407302,"Ailanthus altissima",4.59166666666667
"GETT-258",2023,310104,4409815,"Ailanthus altissima",0
"GETT-096",2022,307607,4407317,"Ailanthus altissima",0.00833333333333333
