"Plot_Name","SampleYear","X","Y","ScientificName","CommonName","type"
"GETT-256",2023,307348,4405807,"Oplismenus hirtellus ssp. undulatifolius","wavyleaf basketgrass","graminoid"
"GETT-097",2022,307117,4411757,"Oplismenus hirtellus ssp. undulatifolius","wavyleaf basketgrass","graminoid"
"GETT-175",2022,308602,4406809,"Ailanthus altissima","Tree of heaven","tree"
"GETT-253",2023,308096,4406818,"Ailanthus altissima","Tree of heaven","tree"
"GETT-169",2022,308610,4407043,"Ailanthus altissima","Tree of heaven","tree"
"GETT-171",2022,309851,4408809,"Ailanthus altissima","Tree of heaven","tree"
"GETT-031",2019,306841,4407290,"Ailanthus altissima","Tree of heaven","tree"
"GETT-089",2022,310343,4410057,"Ailanthus altissima","Tree of heaven","tree"
"GETT-032",2019,307589,4406049,"Ailanthus altissima","Tree of heaven","tree"
"GETT-091",2022,308602,4407302,"Ailanthus altissima","Tree of heaven","tree"
"GETT-258",2023,310104,4409815,"Ailanthus altissima","Tree of heaven","tree"
"GETT-096",2022,307607,4407317,"Ailanthus altissima","Tree of heaven","tree"
"GETT-033",2019,310357,4409298,"Albizia julibrissin","silktree","tree"
"GETT-028",2019,310101,4409555,"Albizia julibrissin","silktree","tree"
"GETT-257",2023,306605,4412050,"Albizia julibrissin","silktree","tree"
"GETT-255",2023,308845,4408550,"Albizia julibrissin","silktree","tree"
"GETT-033",2019,310357,4409298,"Agrilus planipennis","emerald ash borer","pest"
"GETT-093",2022,307603,4413545,"Agrilus planipennis","emerald ash borer","pest"
"GETT-087",2022,309127,4408804,"Agrilus planipennis","emerald ash borer","pest"
