"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","inv_cov_4","numspp_1","numspp_2","numspp_3","numspp_4"
28,"1",8.025,6.525,19.1833333333333,32.45,3,4,6,10
29,"1",3.69166666666667,1.99166666666667,30.1666666666667,76.2666666666667,3,5,6,10
30,"1",67.8916666666667,34.15,54.9416666666667,54.0083333333333,5,6,8,8
31,"1",7.20833333333333,6.75,22.6833333333333,11.5333333333333,1,2,7,8
32,"1",0.291666666666667,21.575,28,38.15,1,5,8,9
33,"1",5.66666666666667,11.475,9.13333333333333,4.2,2,5,6,8
34,"1",19.4833333333333,3.68333333333333,6.3,3.18333333333333,4,5,6,9
35,"1",17.2083333333333,23.3583333333333,29.525,30.0083333333333,3,5,5,8
87,"2",4.49166666666667,15.25,4.375,17.6,3,7,8,8
89,"2",18.725,15.4333333333333,13.4583333333333,20.2583333333333,5,7,8,12
90,"2",27.5666666666667,31.1916666666667,36.1583333333333,76.4916666666667,6,8,8,8
91,"2",2.16666666666667,2.56666666666667,6.96666666666667,20.4416666666667,4,6,9,8
92,"2",2.05,13.6833333333333,20.2333333333333,18.0916666666667,2,6,8,9
93,"2",8.75,11.7916666666667,31.425,47.9583333333333,4,4,8,9
96,"2",14.625,3.025,3.26666666666667,4.06666666666667,5,7,6,9
97,"2",53.0666666666667,41.4583333333333,68.5833333333333,70.3583333333333,5,6,7,11
167,"3",4.55,3.24166666666667,3.73333333333333,1.50833333333333,10,10,9,7
168,"3",61.2666666666667,70.3666666666667,75.5083333333333,69.6833333333333,6,6,6,7
169,"3",3.19166666666667,7.70833333333333,5.1,14.0166666666667,5,6,7,9
170,"3",25.2,24.5666666666667,26.1583333333333,45.5666666666667,7,5,7,8
171,"3",26.45,24.1166666666667,25.2416666666667,24.7333333333333,7,5,7,8
173,"3",35.2666666666667,30.7333333333333,15.7833333333333,8.39166666666667,10,10,12,12
174,"3",36.175,72.7916666666667,67.4916666666667,48.1,7,8,6,8
175,"3",3.89166666666667,0.4,1.09166666666667,3.23333333333333,5,5,5,8
252,"4",8.48333333333333,35.0833333333333,18.65,50.95,4,6,5,8
253,"4",1.025,12.2166666666667,0.416666666666667,10.8916666666667,3,7,6,8
254,"4",2.1,3.525,6.90833333333333,2.69166666666667,3,7,7,9
255,"4",23.8083333333333,42.4583333333333,17.4166666666667,6.79166666666667,4,5,7,8
256,"4",15.4583333333333,46.5,44.225,64.1833333333333,5,6,5,9
257,"4",0.983333333333333,16.2916666666667,9.325,3.775,4,8,9,7
258,"4",1.025,8.79166666666667,1.09166666666667,42.5416666666667,4,5,6,11
259,"4",0.766666666666667,5.35,7.11666666666667,3.575,4,3,3,6
356,"2",NA,0,0.158333333333333,1.625,NA,3,3,5
