"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4"
"Acer platanoides","Norway maple",3,2,3,8
"Ailanthus altissima","Tree of heaven",3,2,4,10
"Alliaria petiolata","garlic mustard",15,15,20,25
"Berberis thunbergii","Japanese barberry",17,24,26,28
"Berberis vulgaris","common barberry",0,1,0,0
"Celastrus orbiculatus","oriental bittersweet",1,2,5,17
"Euonymus","burningbush",0,1,1,14
"Euonymus fortunei","climbing euonymus",0,1,0,1
"Ligustrum","privet",3,17,15,18
"Lonicera - Exotic","honeysuckle - exotic",6,10,17,15
"Lonicera japonica","Japanese honeysuckle",29,31,31,32
"Microstegium vimineum","Japanese stiltgrass",25,26,32,31
"Oplismenus hirtellus ssp. undulatifolius","wavyleaf basketgrass",0,0,0,2
"Persicaria longiseta","Oriental lady's thumb",7,12,21,18
"Persicaria perfoliata","Asiatic tearthumb",0,1,2,7
"Rosa multiflora","multiflora rose",26,32,31,33
"Rubus phoenicolasius","wine raspberry",9,16,14,19
