"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"HOFU-247",247,"4",0,0,0,0,0,0,0,0,0,0,0,0
"HOFU-249",249,"4",0,0.58,1,0.58,0,0,0,0,0,7.28849495632832,16.7132729170977,9.42477796076938
"HOFU-050",50,"1",0.17,0,0.25,0,0.11,0.09,0.06,0.05,3.14159265358979,0,25.3840686410055,0
"HOFU-166",166,"3",0,0,0,0.08,0.01,0.01,0.01,0.01,0,0,0,1.00530964914873
"HOFU-084",84,"2",0.17,0.75,1.08,0.08,0.01,0.01,0.01,0.01,2.13628300444106,10.4300876099181,17.84424627239,2.13628300444106
"HOFU-083",83,"2",0,0,0.08,0.08,0,0,0,0,0,0,1.00530964914873,1.00530964914873
"HOFU-248",248,"4",0.5,0.58,1,0.33,0.02,0.01,0.01,0,7.28849495632832,10.4300876099181,13.5716802635079,4.14690230273853
"HOFU-164",164,"3",2,8.58,9.33,6.5,0,0,0,0.26,30.4106168867492,206.339805487778,486.946861306418,563.853049466296
"HOFU-163",163,"3",0.25,0.25,0.17,0.42,0,0,0,0,3.14159265358979,4.14690230273853,2.13628300444106,6.28318530717959
"HOFU-165",165,"3",0.25,0.08,0.17,0.25,0,0,0,0,3.14159265358979,1.00530964914873,2.13628300444106,3.14159265358979
"HOFU-251",251,"4",0,0.5,0.58,0.25,0.04,0,0,0.07,7.41415866247191,10.4300876099181,82.6867186424834,99.9026463841554
"HOFU-053",53,"1",0.17,0.08,0.25,0.08,0,0,0,0,2.13628300444106,1.00530964914873,3.14159265358979,1.00530964914873
"HOFU-052",52,"1",0.83,0.25,0.75,0.92,0.09,0.09,0.08,0.07,10.4300876099181,3.14159265358979,9.42477796076938,11.5610609652104
"HOFU-086",86,"2",0.67,0.75,1.83,2.83,0.04,0.04,0.06,0.45,24.2530952857132,28.3999975884517,61.0725611857856,279.978737287922
"HOFU-085",85,"2",0.75,1.75,1.42,1.33,0,0,0,0,11.5610609652104,30.4106168867492,21.9911485751286,21.9911485751286
"HOFU-051",51,"1",1.75,1.17,1,0.75,0,0,0.02,0.04,25.1327412287183,39.8353948475186,71.3769850895601,104.929194629899
