"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","inv_cov_4","numspp_1","numspp_2","numspp_3","numspp_4"
50,"1",70,41.5916666666667,102.025,87.5083333333333,1,6,8,8
51,"1",11.4583333333333,6.58333333333333,22.0583333333333,28.1916666666667,5,6,6,7
52,"1",0,0,0,0,0,0,0,1
53,"1",79.8333333333333,67.8083333333333,97.3416666666667,95.325,2,5,5,7
83,"2",46.025,40.9833333333333,6.175,26.1083333333333,4,8,8,10
84,"2",8.95,4.33333333333333,5.46666666666667,12.6666666666667,4,5,5,8
85,"2",0.00833333333333333,0.133333333333333,0.158333333333333,21.7416666666667,1,3,3,6
86,"2",0,0,0,2.53333333333333,0,1,1,6
163,"3",1.21666666666667,11.35,2.225,5.675,6,6,7,8
164,"3",0,0.45,0.65,1.775,3,6,5,6
165,"3",22.2916666666667,44.6166666666667,37.3916666666667,44.6916666666667,7,7,7,9
166,"3",4.375,39.2666666666667,51.125,49.1583333333333,1,3,3,4
247,"4",85.7083333333333,94,81.7916666666667,93.9416666666667,8,8,8,8
248,"4",58.9916666666667,89.85,40.25,53.9166666666667,5,5,4,6
249,"4",31.9833333333333,70.9583333333333,14.6416666666667,12.475,6,6,6,6
251,"4",0.00833333333333333,10.1166666666667,6.175,5.675,3,4,6,8
