"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4"
"Ailanthus altissima","Tree of heaven",0,0,1,0
"Alliaria petiolata","garlic mustard",5,2,3,3
"Berberis thunbergii","Japanese barberry",9,13,14,15
"Berberis vulgaris","common barberry",0,2,0,0
"Celastrus orbiculatus","oriental bittersweet",7,12,11,13
"Euonymus","burningbush",0,0,0,2
"Euonymus fortunei","climbing euonymus",1,0,0,0
"Ligustrum","privet",0,1,1,2
"Lonicera - Exotic","honeysuckle - exotic",2,2,2,5
"Lonicera japonica","Japanese honeysuckle",2,3,4,5
"Microstegium vimineum","Japanese stiltgrass",13,13,13,16
"Persicaria longiseta","Oriental lady's thumb",4,8,9,11
"Persicaria perfoliata","Asiatic tearthumb",0,0,2,8
"Rosa multiflora","multiflora rose",6,11,10,13
"Rubus phoenicolasius","wine raspberry",7,12,12,13
"Viburnum dilatatum","linden arrowwood",0,0,0,2
