"Plot_Name","SampleYear","X","Y","ScientificName","quad_avg_cov"
"PETE-137",2021,290350,4122799,"Microstegium vimineum",3.875
"PETE-298",2022,290844,4122558,"Celastrus orbiculatus",0
"PETE-298",2022,290844,4122558,"Microstegium vimineum",5.66666666666667
"PETE-135",2021,291351,4123059,"Microstegium vimineum",0
"PETE-308",2022,291097,4123545,"Microstegium vimineum",0
"PETE-141",2021,288843,4121550,"Microstegium vimineum",34.7166666666667
"PETE-186",2021,290841,4122299,"Rubus phoenicolasius",0
"PETE-068",2023,267857,4113056,"Microstegium vimineum",0.00833333333333333
"PETE-190",2021,289096,4122054,"Microstegium vimineum",45.425
"PETE-025",2023,290599,4122300,"Microstegium vimineum",1.25833333333333
"PETE-026",2023,291100,4123801,"Microstegium vimineum",0
"PETE-136",2021,291340,4122552,"Microstegium vimineum",3.35833333333333
"PETE-198",2021,281607,4116550,"Microstegium vimineum",0
"PETE-301",2022,289856,4122301,"Microstegium vimineum",3.68333333333333
"PETE-138",2021,291602,4123059,"Microstegium vimineum",39.4
"PETE-297",2022,291365,4123548,"Microstegium vimineum",3.84166666666667
"PETE-139",2021,290852,4124552,"Microstegium vimineum",3.25833333333333
"PETE-139",2021,290852,4124552,"Rubus phoenicolasius",0
"PETE-191",2021,290852,4123795,"Microstegium vimineum",0.541666666666667
"PETE-024",2023,290602,4122051,"Microstegium vimineum",31.25
"PETE-027",2023,291350,4124048,"Microstegium vimineum",24.5916666666667
"PETE-192",2021,291097,4122784,"Microstegium vimineum",0.425
"PETE-021",2023,290597,4123801,"Microstegium vimineum",36.9583333333333
"PETE-369",2021,290605,4123299,"Celastrus orbiculatus",0
"PETE-369",2021,290605,4123299,"Microstegium vimineum",9.58333333333333
"PETE-140",2021,289848,4122548,"Microstegium vimineum",0
"PETE-022",2023,289346,4121550,"Microstegium vimineum",44.375
"PETE-299",2022,290854,4122796,"Microstegium vimineum",0.758333333333333
"PETE-189",2021,289621,4122054,"Microstegium vimineum",65.4166666666667
"PETE-296",2022,291370,4123800,"Microstegium vimineum",0.375
