"Plot_Name","SampleYear","X","Y","ScientificName","CommonName","type"
"PETE-137",2021,290350,4122799,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-298",2022,290844,4122558,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-135",2021,291351,4123059,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-308",2022,291097,4123545,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-141",2021,288843,4121550,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-068",2023,267857,4113056,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-190",2021,289096,4122054,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-025",2023,290599,4122300,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-026",2023,291100,4123801,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-136",2021,291340,4122552,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-198",2021,281607,4116550,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-301",2022,289856,4122301,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-138",2021,291602,4123059,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-297",2022,291365,4123548,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-139",2021,290852,4124552,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-191",2021,290852,4123795,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-024",2023,290602,4122051,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-027",2023,291350,4124048,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-192",2021,291097,4122784,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-021",2023,290597,4123801,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-369",2021,290605,4123299,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-140",2021,289848,4122548,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-022",2023,289346,4121550,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-299",2022,290854,4122796,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-189",2021,289621,4122054,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-296",2022,291370,4123800,"Microstegium vimineum","Japanese stiltgrass","graminoid"
"PETE-298",2022,290844,4122558,"Celastrus orbiculatus","oriental bittersweet","shrub"
"PETE-369",2021,290605,4123299,"Celastrus orbiculatus","oriental bittersweet","shrub"
"PETE-186",2021,290841,4122299,"Rubus phoenicolasius","wine raspberry","shrub"
"PETE-139",2021,290852,4124552,"Rubus phoenicolasius","wine raspberry","shrub"
