"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","seed_den_5","sap_den_1","sap_den_2","sap_den_3","sap_den_4","sap_den_5","stock_1","stock_2","stock_3","stock_4","stock_5"
"PETE-137",137,"2",0,0.17,0.83,0.5,NA,0.06,0.06,0.05,0.02,NA,0,3.14159265358979,10.4300876099181,6.28318530717959,NA
"PETE-298",298,"4",0.08,0.08,0,0.25,NA,0.04,0.02,0.02,0.02,NA,8.41946831162065,1.00530964914873,0,3.14159265358979,NA
"PETE-135",135,"2",0.42,0.5,0.17,0.83,NA,0.15,0.14,0.11,0.07,NA,29.5309709437441,22.1168122812721,17.9699099785336,11.5610609652104,NA
"PETE-193",193,"3",1.08,1,0.75,0.33,NA,0.29,0.31,0.2,0.2,NA,97.0123811428528,87.713266888227,49.6371639267187,35.9398199570672,NA
"PETE-270",270,"4",0.42,0.33,0.17,0.17,NA,0.22,0.19,0.14,0.11,NA,111.589371055509,41.2176956150981,17.9699099785336,2.13628300444106,NA
"PETE-308",308,"4",1.42,1.33,2.25,2.42,NA,0.12,0.11,0.12,0.13,NA,59.8159241243497,114.353972590668,115.484945945961,181.58405537749,NA
"PETE-302",302,"4",0.25,0.25,0.25,0.17,NA,0.33,0.21,0.18,0.11,NA,64.4654812516626,28.5256612945953,12.6920343205028,4.14690230273853,NA
"PETE-141",141,"2",0,0,0.17,0.83,NA,0,0,0,0,NA,0,0,2.13628300444106,10.4300876099181,NA
"PETE-110",110,"2",0.17,0.17,0.5,0.08,NA,0.14,0.15,0.14,0.11,NA,37.8247755492211,18.9752196276823,25.2584049348619,2.13628300444106,NA
"PETE-109",109,"2",0.17,0.42,0.25,0.08,NA,0.15,0.14,0.13,0.12,NA,60.0672515366368,35.9398199570672,27.5203516454466,15.8336269740926,NA
"PETE-186",186,"3",0.17,0,0.08,0,NA,0.07,0.06,0.06,0.05,NA,2.13628300444106,0,1.00530964914873,0,NA
"PETE-269",269,"4",0.08,0,0.17,0.17,NA,0.15,0.12,0.09,0.06,NA,31.6672539481851,22.2424759874157,17.9699099785336,9.55044166691297,NA
"PETE-068",68,"1",3.08,2.17,2.67,1.75,1.75,0.33,0.24,0.2,0.13,0.08,86.2053024145039,158.336269740926,148.785828074013,86.9592846513655,40.8407044966673
"PETE-190",190,"3",0.08,0.08,0.08,0.08,NA,0.07,0.08,0.06,0.05,NA,2.13628300444106,1.00530964914873,1.00530964914873,1.00530964914873,NA
"PETE-025",25,"1",0.33,0.08,0.17,0.17,0.33,0.08,0.07,0.06,0.05,0.04,34.8088466017749,16.9646003293849,4.14690230273853,4.14690230273853,24.1274315795696
"PETE-067",67,"1",0.75,0.58,0.92,0.25,0.58,0.12,0.12,0.08,0.02,0.02,50.6424735758675,55.9203492338983,44.2336245625443,17.9699099785336,18.9752196276823
"PETE-066",66,"1",1.5,2.75,3.83,4.33,4.5,0.18,0.15,0.14,0.12,0.08,80.1734445196115,84.1946831162065,68.2353924359703,88.2159217128014,75.5238873922986
"PETE-305",305,"4",0,0.17,0.08,0.25,NA,0.15,0.15,0.11,0.11,NA,44.4849519748315,55.0407032908932,31.6672539481851,33.8035369526262,NA
"PETE-313",313,"4",0.25,0.08,0,0,NA,0.04,0.02,0.02,0.02,NA,4.14690230273853,1.00530964914873,0,0,NA
"PETE-069",69,"1",0.25,0.25,0.08,0,0.08,0.48,0.42,0.29,0.19,0.13,115.359282239817,101.536274564022,60.318578948924,44.4849519748315,30.6619442990364
