"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4","cycle_5"
"Ailanthus altissima","Tree of heaven",1,0,1,3,0
"Berberis thunbergii","Japanese barberry",0,1,1,1,0
"Celastrus orbiculatus","oriental bittersweet",0,0,0,2,0
"Euonymus fortunei","climbing euonymus",1,0,0,0,0
"Ligustrum","privet",0,5,8,10,2
"Lonicera - Exotic","honeysuckle - exotic",4,0,0,0,0
"Lonicera japonica","Japanese honeysuckle",14,22,22,22,4
"Microstegium vimineum","Japanese stiltgrass",17,23,24,25,7
"Persicaria longiseta","Oriental lady's thumb",0,4,1,4,2
"Rosa multiflora","multiflora rose",0,3,1,4,1
"Rubus phoenicolasius","wine raspberry",0,0,1,2,0
