"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","seed_den_5","sap_den_1","sap_den_2","sap_den_3","sap_den_4","sap_den_5","stock_1","stock_2","stock_3","stock_4","stock_5"
"RICH-134",134,"2",0,0,0,0,NA,0.01,0.01,0.01,0.01,NA,0,0,7.41415866247191,0,NA
"RICH-020",20,"1",0.58,0.25,0.25,0.25,0.08,0.04,0.01,0.02,0.02,0.02,22.1168122812721,3.14159265358979,10.5557513160617,11.5610609652104,9.55044166691297
"RICH-307",307,"4",0.25,0.42,0.17,0.17,NA,0.02,0.01,0.05,0.06,NA,5.27787565803085,6.28318530717959,25.3840686410055,32.7982273034774,NA
"RICH-016",16,"1",0,0,1.33,0.25,2.25,0.02,0,0.01,0.02,0.07,0,0,17.84424627239,10.5557513160617,67.2300827868216
"RICH-019",19,"1",0.08,0.17,0,0,0.08,0,0,0,0,0.01,2.13628300444106,2.13628300444106,0,0,8.41946831162065
"RICH-238",238,"3",0,0,0,0,NA,0.05,0.05,0.01,0.01,NA,22.2424759874157,22.2424759874157,0,0,NA
"RICH-129",129,"2",0.25,0.33,0.17,0.33,NA,0.09,0.13,0.08,0.08,NA,34.8088466017749,35.9398199570672,17.9699099785336,20.1061929829747,NA
"RICH-131",131,"2",0.17,0.08,0.25,0.67,NA,0,0,0,0,NA,2.13628300444106,1.00530964914873,3.14159265358979,8.41946831162065,NA
"RICH-153",153,"2",0.25,0.08,3.42,2,NA,0.04,0.04,0.18,0.27,NA,22.9964582242773,8.41946831162065,148.534500661725,306.745106696507,NA
"RICH-064",64,"1",0.08,0,0,0,0.08,0.01,0,0,0,0,1.00530964914873,0,0,0,1.00530964914873
"RICH-226",226,"3",0.08,0.17,0.33,0.17,NA,0.01,0.01,0.04,0.04,NA,8.41946831162065,11.5610609652104,28.5256612945953,25.3840686410055,NA
"RICH-133",133,"2",0.33,0.25,0.25,0.17,NA,0.32,0.25,0.26,0.14,NA,81.4300815810474,69.6176932035498,62.2035345410779,11.5610609652104,NA
"RICH-207",207,"3",0.5,0.17,0.08,0.08,NA,0.02,0.05,0.04,0.02,NA,8.41946831162065,16.9646003293849,9.55044166691297,9.55044166691297,NA
"RICH-233",233,"3",0.75,0.33,1,0.58,NA,0.06,0.07,0.06,0.05,NA,46.2442438608418,77.7858341028833,79.7964534011807,22.1168122812721,NA
"RICH-063",63,"1",0.5,0,0.17,0,0.08,0.01,0.01,0.01,0.01,0,10.4300876099181,0,2.13628300444106,0,1.00530964914873
"RICH-148",148,"2",0.25,0.25,0,0.08,NA,0.13,0.07,0.05,0.02,NA,85.0743290592116,17.9699099785336,7.41415866247191,1.00530964914873,NA
"RICH-219",219,"3",0.67,0.67,1.17,NA,NA,0.11,0.14,0.14,NA,NA,57.9309685321958,51.6477832250162,43.2283149133956,NA,NA
"RICH-309",309,"4",0,0.08,0,0,NA,0.02,0.01,0,0,NA,14.8283173249438,2.13628300444106,0,0,NA
"RICH-303",303,"4",0.25,0.42,0.42,0.58,NA,0.06,0.06,0.06,0.06,NA,17.9699099785336,20.1061929829747,13.6973439696515,14.7026536188002,NA
"RICH-230",230,"3",0.5,0.75,0.58,0.42,NA,0.05,0.06,0.05,0.06,NA,29.2796435314569,42.9769875011084,18.9752196276823,25.2584049348619,NA
"RICH-311",311,"4",0.17,0.17,0.17,0.17,NA,0.02,0.02,0.01,0.01,NA,2.13628300444106,2.13628300444106,2.13628300444106,2.13628300444106,NA
"RICH-203",203,"3",0.33,0.33,0.17,0.08,NA,0.18,0.25,0.27,0.28,NA,254.469004940773,298.828293209461,143.884943534413,193.1451163427,NA
"RICH-314",314,"4",0,0,0,0,NA,0.48,0.41,0.28,0.22,NA,111.086716230935,81.4300815810474,51.8991106373034,44.4849519748315,NA
"RICH-154",154,"2",0.33,0.58,0.58,1.92,NA,0.25,0.22,0.21,0.19,NA,86.7079572390783,76.1522059230166,61.3238885980728,76.9061881598781,NA
"RICH-015",15,"1",0,0.42,0.25,0.08,0.08,0.07,0.06,0.02,0.02,0.02,14.8283173249438,21.1115026321234,10.5557513160617,8.41946831162065,8.41946831162065
"RICH-304",304,"4",0.42,0.92,0.92,2,NA,0.14,0.13,0.11,0.09,NA,15.8336269740926,55.5433581154675,35.5628288386365,49.260172808288,NA
"RICH-155",155,"2",0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA
"RICH-215",215,"3",0.08,3.17,2.08,0.58,NA,0.15,0.19,0.2,0.15,NA,24.3787589918568,96.7610537305656,145.267244301992,60.1929152427804,NA
"RICH-306",306,"4",0,0,0,0,NA,0.07,0.07,0.06,0.01,NA,14.8283173249438,7.41415866247191,7.41415866247191,0,NA
"RICH-073",73,"1",0.42,0,2.1,0.75,0.5,0.21,0.17,0.12,0.07,0.06,27.5203516454466,29.6566346498876,36.316811075498,11.5610609652104,7.28849495632832
"RICH-317",317,"4",0,0,0,0,NA,0.02,0.02,0.02,0.01,NA,0,0,0,0,NA
"RICH-072",72,"1",0.33,0,0,0.17,0.25,0.33,0.07,0.06,0.01,0,192.893788930413,7.41415866247191,7.41415866247191,2.13628300444106,3.14159265358979
