"PlotCode","PanelCode","inv_cov_1","inv_cov_2","inv_cov_3","inv_cov_4","inv_cov_5","numspp_1","numspp_2","numspp_3","numspp_4","numspp_5"
15,"1",9.95833333333333,8.775,11.7916666666667,27.4583333333333,21.1333333333333,2,3,3,3,2
16,"1",14.7166666666667,44.0916666666667,24.5333333333333,12.4666666666667,15.5666666666667,2,3,2,2,2
19,"1",0,0,0.158333333333333,4.4,6.875,0,1,3,4,3
20,"1",0,0,0,0,0.133333333333333,0,0,1,1,1
63,"1",8.08333333333333,4.95,23.6166666666667,8.01666666666667,5.63333333333333,2,2,2,4,4
64,"1",2.25,1.34166666666667,18.1833333333333,5.35,5.54166666666667,2,2,2,4,4
72,"1",6.29166666666667,0.991666666666667,15.7166666666667,44.3666666666667,20.2416666666667,3,4,4,4,4
73,"1",0,0.00833333333333333,0,0.0166666666666667,0.00833333333333333,0,1,0,1,1
129,"2",0.975,33.6666666666667,9.19166666666667,12.4416666666667,NA,2,2,3,4,NA
131,"2",10.7583333333333,25.2083333333333,22.7333333333333,12.4333333333333,NA,3,3,3,3,NA
133,"2",0,0.00833333333333333,0,0.633333333333333,NA,0,1,1,3,NA
134,"2",0,0,0,0,NA,0,1,0,0,NA
148,"2",2.58333333333333,12.1416666666667,6.51666666666667,19.3333333333333,NA,4,4,5,4,NA
153,"2",0,0,0.166666666666667,0.0333333333333333,NA,0,1,2,1,NA
154,"2",0,0,0,0,NA,0,0,1,0,NA
155,"2",0.191666666666667,0.0416666666666667,0.05,0.00833333333333333,NA,2,4,3,2,NA
203,"3",0,0,0,0,NA,0,0,0,0,NA
207,"3",0.15,0.9,3.81666666666667,0.458333333333333,NA,1,2,2,1,NA
215,"3",3.80833333333333,10.1083333333333,4.425,0.025,NA,6,5,5,2,NA
219,"3",0.141666666666667,0.0166666666666667,0.0166666666666667,NA,NA,2,1,1,NA,NA
226,"3",0,0.308333333333333,0.00833333333333333,0.00833333333333333,NA,0,1,1,1,NA
230,"3",0.158333333333333,0.325,0.275,0.0416666666666667,NA,2,2,2,2,NA
233,"3",0,0.0166666666666667,0.125,0.291666666666667,NA,1,1,1,2,NA
238,"3",0.3,1.4,13.575,5.3,NA,5,3,4,3,NA
303,"4",0,0,0,0,NA,0,0,0,0,NA
304,"4",0,0,0,0,NA,0,0,0,0,NA
306,"4",3.40833333333333,4.03333333333333,1.61666666666667,0.291666666666667,NA,3,4,4,2,NA
307,"4",0.025,0.0416666666666667,0.00833333333333333,4.75,NA,1,2,2,4,NA
309,"4",33.475,55.7166666666667,65.0333333333333,38.95,NA,4,3,3,6,NA
311,"4",0,0,0,0,NA,0,0,0,0,NA
314,"4",0.00833333333333333,0.0166666666666667,0,0,NA,1,1,1,1,NA
317,"4",0,0,0,0.00833333333333333,NA,0,1,1,1,NA
