"Metric","Value","Units","status","rank","label_order","status_fac","text_label","park"
"Sapling Density",0.0176838825657662,"(stems/m^2)","Critical",1,"Sapling Density","Critical","0.02 (stems/m^2)","SAHI"
"Seedling Density",0,"(stems/m^2)","Critical",2,"Seedling Density","Critical","0 (stems/m^2)","SAHI"
"% Stocked Plots",0,"%","Critical",3,"% Stocked Plots","Critical","0 %","SAHI"
"Stocking Index",5.55555555555556,"(2m radius scale)","Critical",4,"Stocking Index","Critical","5.56 (2m radius scale)","SAHI"
"Deer Browse Impacts",5,"(range: 1 - 5)","Critical",5,"Deer Browse Impacts","Critical","5 (range: 1 - 5)","SAHI"
"Flat Tree Diam. Dist.",0,"","Acceptable",6,"Flat Tree Diam. Dist.","Acceptable","FALSE","SAHI"
"Sapling Composition",40,"%","Critical",7,"Sapling Composition","Critical","40 %","SAHI"
"Seedling Comp.",0,"%","Critical",8,"Seedling Comp.","Critical","0 %","SAHI"
"Sorensen Sapling",0.256944444444444,"(range: 0 - 1)","Acceptable",9,"Sorensen Sapling","Acceptable","0.26 (range: 0 - 1)","SAHI"
"Sorensen Seedling",0,"(range: 0 - 1)","Critical",10,"Sorensen Seedling","Critical","0 (range: 0 - 1)","SAHI"
"Regen. Debt Status",8,NA,"Imminent Failure",11,"Regen. Debt Status",NA,"Imminent Failure","SAHI"
