"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4"
"Acer platanoides","Norway maple",2,2,2,4
"Alliaria petiolata","garlic mustard",1,2,3,2
"Ampelopsis brevipedunculata","porcelainberry",0,0,0,1
"Berberis thunbergii","Japanese barberry",1,1,1,1
"Celastrus orbiculatus","oriental bittersweet",3,3,3,4
"Euonymus","burningbush",1,3,3,4
"Euonymus fortunei","climbing euonymus",1,0,1,1
"Ligustrum","privet",0,3,4,4
"Lonicera - Exotic","honeysuckle - exotic",2,0,0,0
"Lonicera japonica","Japanese honeysuckle",3,4,4,4
"Microstegium vimineum","Japanese stiltgrass",0,0,0,1
"Persicaria longiseta","Oriental lady's thumb",0,1,1,0
"Rosa multiflora","multiflora rose",1,3,3,1
"Rubus phoenicolasius","wine raspberry",0,2,3,3
"Viburnum dilatatum","linden arrowwood",0,3,2,3
