"Plot_Name","Plot","Panel","seed_den_1","seed_den_2","seed_den_3","seed_den_4","sap_den_1","sap_den_2","sap_den_3","sap_den_4","stock_1","stock_2","stock_3","stock_4"
"VAFO-080",80,"2",0,0,0,0.17,0.04,0,0,0,0,0,0,2.13628300444106
"VAFO-159",159,"3",0,0,0.17,0,0,0,0,0,0,0,3.14159265358979,0
"VAFO-041",41,"1",0,0,0.08,0.5,0.04,0.02,0.01,0.01,0,0,1.00530964914873,7.28849495632832
"VAFO-244",244,"4",0,0,0,1.08,0.02,0.02,0.02,0.02,0,0,0,13.5716802635079
"VAFO-162",162,"3",0,0,0.17,0.25,0.02,0.02,0.01,0,0,0,2.13628300444106,3.14159265358979
"VAFO-038",38,"1",0,0,0.25,0.17,0.02,0.02,0.02,0.02,0,0,4.14690230273853,3.14159265358979
"VAFO-157",157,"3",0,0.25,0.25,0.5,0.01,0.01,0.01,0.01,0,3.14159265358979,4.14690230273853,8.41946831162065
"VAFO-039",39,"1",0,0,0.08,0.08,0.01,0.01,0.01,0.01,0,0,1.00530964914873,1.00530964914873
"VAFO-040",40,"1",0.08,0.08,1.08,0.75,0.04,0.04,0.04,0.04,8.41946831162065,8.41946831162065,22.1168122812721,19.9805292768311
"VAFO-240",240,"4",0.08,0.08,0.08,0.25,0.05,0.05,0.05,0.04,1.00530964914873,1.00530964914873,1.00530964914873,4.14690230273853
"VAFO-036",36,"1",0,0.08,0.25,0.67,0,0,0,0,0,1.00530964914873,4.14690230273853,10.4300876099181
"VAFO-160",160,"3",0,0.08,0.17,0.33,0.11,0.12,0.08,0.05,7.41415866247191,8.41946831162065,2.13628300444106,5.27787565803085
"VAFO-242",242,"4",0.25,0.5,1,2.17,0.06,0.05,0.02,0.02,3.14159265358979,7.28849495632832,19.8548655706875,128.805298797182
"VAFO-077",77,"2",0,0.17,0.42,0.83,0.08,0.07,0.06,0.05,14.8283173249438,9.55044166691297,13.6973439696515,22.1168122812721
"VAFO-079",79,"2",0.08,0.08,0.83,0.75,0.04,0.02,0,0.01,1.00530964914873,1.00530964914873,10.4300876099181,22.1168122812721
"VAFO-082",82,"2",0,0.08,0.17,0.17,0.02,0.02,0.02,0.01,0,2.13628300444106,2.13628300444106,4.14690230273853
"VAFO-037",37,"1",0,0,0.17,0.5,0,0,0,0,0,0,2.13628300444106,8.41946831162065
"VAFO-156",156,"3",0.08,0,0,0,0.02,0.01,0.01,0.01,1.00530964914873,0,0,0
"VAFO-081",81,"2",0,0.17,0.08,0.83,0,0,0,0,0,3.14159265358979,1.00530964914873,13.5716802635079
"VAFO-161",161,"3",0,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0
"VAFO-246",246,"4",0,0,0,0,0.05,0.05,0.04,0.02,0,0,0,0
"VAFO-243",243,"4",0,0.17,0.08,0.33,0.01,0.01,0,0,0,2.13628300444106,1.00530964914873,5.27787565803085
"VAFO-076",76,"2",0.08,0,0.17,0.83,0.04,0.04,0.04,0.04,1.00530964914873,0,2.13628300444106,10.4300876099181
"VAFO-241",241,"4",0,0,0,0.83,0.02,0.02,0.02,0.02,0,0,0,12.5663706143592
"VAFO-158",158,"3",0,0,0,0.17,0.06,0.06,0.04,0.02,7.41415866247191,0,0,21.9911485751286
"VAFO-042",42,"1",0,0.08,0,0.25,0,0,0,0,0,1.00530964914873,0,4.14690230273853
"VAFO-078",78,"2",0,0,0.42,1.83,0.02,0.02,0.01,0,0,0,5.27787565803085,56.5486677646163
"VAFO-245",245,"4",0,0,0.08,0.25,0,0,0,0,0,0,1.00530964914873,3.14159265358979
