"ScientificName","CommonName","cycle_1","cycle_2","cycle_3","cycle_4"
"Acer platanoides","Norway maple",4,3,3,8
"Ailanthus altissima","Tree of heaven",3,4,5,5
"Alliaria petiolata","garlic mustard",12,18,22,20
"Berberis thunbergii","Japanese barberry",5,6,8,15
"Cardamine impatiens","narrowleaf bittercress",2,1,3,8
"Celastrus orbiculatus","oriental bittersweet",5,17,22,24
"Euonymus","burningbush",0,2,3,10
"Euonymus fortunei","climbing euonymus",1,1,1,2
"Ligustrum","privet",0,4,5,8
"Lonicera - Exotic","honeysuckle - exotic",2,5,14,14
"Lonicera japonica","Japanese honeysuckle",4,11,9,12
"Microstegium vimineum","Japanese stiltgrass",21,22,24,23
"Persicaria longiseta","Oriental lady's thumb",1,9,14,16
"Persicaria perfoliata","Asiatic tearthumb",2,2,5,9
"Photinia villosa","oriental photinia",0,0,0,2
"Rosa multiflora","multiflora rose",2,9,14,20
"Rubus phoenicolasius","wine raspberry",6,13,22,22
"Viburnum dilatatum","linden arrowwood",0,0,0,5
"Viburnum sieboldii","Siebold's arrowwood",0,0,1,1
