Plot_Name,Park Code,Plot,Unit,Fire,Eco_System,ecocode
ACAD-001,ACAD,1,Schoodic,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-007,ACAD,7,MDI East,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-008,ACAD,8,MDI East,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-016,ACAD,16,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-017,ACAD,17,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-018,ACAD,18,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-021,ACAD,21,IAH,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-022,ACAD,22,IAH,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-023,ACAD,23,IAH,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-025,ACAD,25,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-026,ACAD,26,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-027,ACAD,27,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-029,ACAD,29,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-030,ACAD,30,MDI East,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-031,ACAD,31,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-033,ACAD,33,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-034,ACAD,34,MDI East,1947,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-035,ACAD,35,MDI East,1947,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-036,ACAD,36,Schoodic,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-038,ACAD,38,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-041,ACAD,41,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-046,ACAD,46,MDI East,1947,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-049,ACAD,49,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
ACAD-050,ACAD,50,MDI West,Unburned,Acadian Lowland Spruce-Fir-Hardwood Forest (CES201.565),SPRFIR
